[0518/031302.519:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0518/043817.205:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0518/043925.958:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0518/043930.972:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0518/043935.987:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0518/043941.003:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0518/043946.015:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0518/043951.028:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0518/043956.039:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0518/044001.050:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0518/044006.066:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0518/044011.078:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0518/044016.090:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0518/044021.103:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
